Bits,Matrix Size,Pipelining,Parallelism,Frequency,Slack,Slack,Comb Area,Buf Area,Non-Comb Area,Total Area,Dyn Power (uW),Leakage Power (uW)
8,12,0,1,1.78000000000000000000,MET,0,4354.95,273.714,7096.08,11451,5541.6000,238.456,
8,12,0,1,1.77000000000000000000,MET,0,4356.55,275.842,7095.02,11451.6,5572.3000,238.457,
8,12,0,1,1.76000000000000000000,MET,0,4381.82,281.428,7093.69,11475.5,5606.000,239.446,
8,12,0,1,1.75000000000000000000,MET,0,4352.03,267.862,7093.69,11445.7,5633.6000,238.324,
8,12,0,1,1.74000000000000000000,MET,0,4380.22,285.95,7095.55,11475.8,5672.000,239.203,
8,12,0,1,1.73000000000000000000,MET,0,4391.13,292.6,7095.02,11486.1,5705.5000,239.472,
8,12,0,1,1.72000000000000000000,MET,0,4367.72,273.714,7095.28,11463,5736.000,238.723,
8,12,0,1,1.71000000000000000000,MET,0,4376.76,272.118,7096.08,11472.8,5770.1000,239.233,
8,12,0,1,1.70000000000000000000,VIOLATED,-0.01,4369.05,278.502,7103.8,11472.8,5804.1000,239.337,
8,12,0,1,1.90000000000000000000,MET,0,4299.09,268.394,7092.36,11391.4,5181.4000,236.488,
8,12,0,1,2.00000000000000000000,MET,0.01,4252.28,264.404,7087.04,11339.3,4904.2000,234.887,
8,12,0,1,2.10000000000000000000,MET,0,4244.56,263.606,7083.58,11328.1,4664.9000,234.586,
8,12,0,1,2.20000000000000000000,MET,0.06,4241.1,259.084,7083.58,11324.7,4452.9000,234.577,
8,12,0,1,2.30000000000000000000,MET,0.06,4240.04,259.084,7083.58,11323.6,4258.9000,234.48,
8,12,0,1,2.40000000000000000000,MET,0.16,4240.04,259.084,7083.58,11323.6,4081.4000,234.48,
8,12,0,1,2.50000000000000000000,MET,0.26,4240.04,259.084,7083.58,11323.6,3918.2000,234.48,
8,12,0,1,2.60000000000000000000,MET,0.36,4240.04,259.084,7083.58,11323.6,3767.5000,234.48,
8,12,0,12,1.60000000000000000000,VIOLATED,-0.05,13414.6,981.274,17382.8,30797.5,12641.6000,613.033,
8,12,0,12,1.70000000000000000000,MET,0,13038.3,775.39,17364.7,30403,11853.6000,601.126,
8,12,0,12,1.69000000000000000000,MET,0,13103.4,817.418,17363.1,30466.6,11923.3000,603.283,
8,12,0,12,1.68000000000000000000,MET,0,13155,840.826,17362.6,30517.6,12001.8000,604.787,
8,12,0,12,1.67000000000000000000,MET,0,13300.5,952.014,17381.8,30682.3,12096.6000,609.677,
8,12,0,12,1.66000000000000000000,MET,0,13282.2,913.444,17367.1,30649.3,12157.3000,607.339,
8,12,0,12,1.65000000000000000000,VIOLATED,-0.04,13202.1,923.818,17375.4,30577.5,12230.6000,605.948,
8,12,0,12,1.80000000000000000000,MET,0,12450.4,661.542,17344.5,29794.9,11130.3000,580.706,
8,12,0,12,1.90000000000000000000,MET,0,11859.3,636.538,17306.5,29165.8,10458.3000,559.494,
8,12,0,12,2.00000000000000000000,MET,0,11741,637.336,17292.9,29033.9,9918.000,555.149,
8,12,0,12,2.10000000000000000000,MET,0,11636.2,601.692,17273.5,28909.7,9432.4000,551.498,
8,12,0,12,2.20000000000000000000,MET,0.01,11603.5,583.338,17272.7,28876.2,9001.4000,550.637,
8,12,0,12,2.30000000000000000000,MET,0.11,11603.5,583.338,17272.7,28876.2,8610.00,550.637,
